i value
5 1129.996489287283
6 1129.996489287283
7 1129.996489287283
8 1129.996489287283
9 1129.996489287283
10 1375.0616527591985
11 1375.0616527591985
12 1375.0616527591985
13 1375.0616527591985
14 1375.0616527591985
15 1375.0616527591985
16 1375.0616527591985
17 1333.1330311726392
18 1333.1330311726392
19 1333.1330311726392
20 1333.1330311726392
21 1333.1330311726392
22 655.957898493831
23 621.8379743731379
24 623.4552538965395
25 626.418369685002
26 637.9599758660647
27 626.4241126610315
28 634.3612288241392
29 618.617177547543
30 620.6974392345571
31 607.658268980981
32 623.5705534191507
33 627.8441330612072
34 640.3770888268915
35 641.2592244457112
36 647.9533424526542
37 636.2506716067993
38 694.0016700526046
39 696.6753271490737
40 704.1470129300012
41 703.1949526215124
42 708.8091293849459
43 646.9807970611665
44 644.3693067910527
