i value
1 439.1333904957265
2 439.87862106504053
3 435.5257035634917
4 435.1946228518516
5 439.0423694347826
6 444.3056210077516
7 436.674286321168
8 435.17097282812483
9 436.70993781599867
10 439.9678490975601
11 438.7437798960004
12 434.3446604036694
13 438.0886946555563
14 438.8223802888895
15 437.10749935789624
16 441.5850171093698
17 440.5266066091938
18 441.3676408592053
19 439.55307521153907
20 442.97373181007725
21 440.3254548215617
22 438.39723473021564
23 439.8488223202621
24 441.99912803692456
25 446.5883101723085
26 441.4225032130605
27 438.24225607741806
28 438.8783722643319
29 440.4903538439491
30 442.33571941194964
31 438.35393051572333
32 441.23829786601215
33 439.5936416291388
34 441.6920471201294
35 441.93894306984214
36 437.0523143400648
37 440.4228568149325
38 489.33092809905617
39 447.94416205787735
40 444.1251491428589
41 446.0456862356662
42 441.3527184192566
43 441.3105525576945
44 442.8121783684198
