i value
5 69.23309851175617
6 69.23309851175617
7 69.23309851175617
8 69.23309851175617
9 69.23309851175617
10 27.022714425916853
11 27.022714425916853
12 27.022714425916853
13 27.022714425916853
14 27.022714425916853
15 2.381814541418381
16 2.4046735766531393
17 2.3636854582383173
18 2.40221079796512
19 2.3782064304527726
20 2.3297126651263276
21 2.2363238869680355
22 2.207648558497072
23 2.1330839588327093
24 2.1339998168198435
25 2.1314307701275683
26 2.1958485455967667
27 2.1814749632368047
28 2.2269235503842593
29 2.2452786344791273
30 2.24309541064933
31 2.214768265148295
32 2.6401575592276045
33 2.7452447881196087
34 2.7790396224177014
35 2.797156070614818
36 2.8149359072041547
37 3.9911066836714406
38 8.817901547132047
39 9.186446343643691
40 9.372076393237895
41 9.369490542498022
42 7.840767793229776
43 2.944253894417017
44 2.6031642727950532
