i value
1 469.78569466666676
2 468.2831252
3 466.90836720000004
4 461.14368766666666
5 458.9966335000001
6 465.13800037500005
7 201.10561314285715
8 199.7232752
9 197.29321469230777
10 203.23966327272748
11 200.38775420000002
12 199.7099863333335
13 204.80545399999997
14 204.10897699999987
15 197.95054554545442
16 208.0833789090909
17 197.30212499999996
18 208.08746659999997
19 222.3187915714282
20 202.5651494999996
21 197.7381325454553
22 194.41581933333268
23 282.91630010000006
24 198.15646300000014
25 260.1021587000003
26 200.05868800000007
27 194.84782581818183
28 203.414671555556
29 193.91081266666697
30 196.38055941666667
31 194.91662838461568
32 193.78334391666553
33 195.82086122222245
34 199.3100625833334
35 194.53529172727247
36 192.6570866923072
37 195.04374245454594
38 192.6247258333327
39 196.34326259999943
40 197.7763195333333
41 195.41425000000052
42 192.84719327272614
