i value
1 709.5226143148147
2 763.0438396944444
3 719.2533541388889
4 799.9849771626983
5 678.618431454365
6 741.2596326858466
7 675.5914282096562
8 769.2629039894181
9 844.7531844940477
10 855.3821259464286
11 775.1995547980771
12 644.3728382564104
13 654.1048072760183
14 690.7883085490193
15 735.0552272990194
16 750.502058946078
17 696.5036035416672
18 708.7275005027781
19 687.8094133546301
20 711.3276432100215
21 653.4360453798631
22 716.2031628613445
23 728.4874556528824
24 736.4212892591092
25 699.1325105924425
26 690.8057812038458
27 620.9289413277779
28 632.9180432555556
29 712.3233534500002
30 726.3238622369283
31 713.7255809548168
32 806.0069403658122
33 764.638602736646
34 807.4238977073411
35 821.9959950184522
36 425.16272832876535
37 516.1096330148354
38 564.8305926389437
39 446.33482532145047
40 460.50590084327683
41 475.3488907387539
42 469.21217915580394
43 507.08853846184104
44 484.6655642064911
45 480.79995205020384
46 462.5926670649187
47 470.6227772550817
